 FIC_MIS_DATE , V_INSTRUMENT_CODE , V_INSTRUMENT_POSITION , V_CCY_CODE , V_CCY2_CODE , N_DELTA_GIRR_1ST_CCY_0.25YEAR , N_DELTA_GIRR_1ST_CCY_0.5YEAR , N_DELTA_GIRR_1ST_CCY_1YEAR , N_DELTA_GIRR_1ST_CCY_2YEAR , N_DELTA_GIRR_1ST_CCY_3YEAR ,N_DELTA_GIRR_1ST_CCY_5YEAR,N_DELTA_GIRR_1ST_CCY_10YEAR,N_DELTA_GIRR_1ST_CCY_15YEAR,N_DELTA_GIRR_1ST_CCY_20YEAR,N_DELTA_GIRR_1ST_CCY_30YEAR,N_DELTA_GIRR_2ND_CCY_0.25YEAR,N_DELTA_GIRR_2ND_CCY_0.5YEAR,N_DELTA_GIRR_2ND_CCY_1YEAR,N_DELTA_GIRR_2ND_CCY_2YEAR,N_DELTA_GIRR_2ND_CCY_3YEAR,N_DELTA_GIRR_2ND_CCY_5YEAR,N_DELTA_GIRR_2ND_CCY_10YEAR,N_DELTA_GIRR_2ND_CCY_15YEAR,N_DELTA_GIRR_2ND_CCY_20YEAR,N_DELTA_GIRR_2ND_CCY_30YEAR,N_VEGA_GIRR_1ST_CCY_0.5YEAR,N_VEGA_GIRR_1ST_CCY_1YEAR,N_VEGA_GIRR_1ST_CCY_3YEAR,N_VEGA_GIRR_1ST_CCY_5YEAR,N_VEGA_GIRR_1ST_CCY_10YEAR,N_VEGA_GIRR_2ND_CCY_0.5YEAR,N_VEGA_GIRR_2ND_CCY_1YEAR,N_VEGA_GIRR_2ND_CCY_3YEAR,N_VEGA_GIRR_2ND_CCY_5YEAR,N_VEGA_GIRR_2ND_CCY_10YEAR,N_CURVATURE_GIRR_1ST_CCY,N_CURVATURE_GIRR_2ND_CCY
12/31/2021, 000400-835 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-836 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-837 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-838 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-839 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-840 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-841 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-842 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-843 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-844 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-845 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-846 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-847 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-848 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-849 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-850 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-851 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-852 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-853 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-854 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-855 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-856 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-857 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-858 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-859 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-860 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-861 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-862 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-863 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-864 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-865 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, 000400-866 ,, VND ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS190841856 ,, USD ,,"  (0,08)","  (54,93)","  (127,79)","  (307,12)","  (755,49)","-132009,8506","-195222,3156",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS399330126 ,, EUR , USD ,"  (18,03)","  (65,08)","  (247,33)","  (567,11)","  (1.412,68)","-77188,13343","-110246,0151",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS233250637 ,, EUR , USD ,"  (26,99)","  (95,94)","  (382,66)","  (872,24)","  (71.403,09)","-70289,60463",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, CCS768096133 ,, EUR , USD ,"  (1,18)","  (4,27)","  (16,96)","  (38,67)","  (96,45)","-343,9460653","-132,0979239",0,0,0,"0,000138347923","4,188628634","14,63779721","33,09226073","81,51732199","290,6151012","117,535055",0,0,0,,,,,,,,,,,,
12/31/2021, CCS561670611 ,, GBP , USD ,"  (0,00)","  (8,21)","  (28,83)","  (65,61)","  (163,28)","-182,993557","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614","-0,0001092263119","-7,599831846","-26,55876365","-60,04247256","-147,9047203","-164,37684","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614","-0,0000000007275957614",,,,,,,,,,,,
12/31/2021, CCS931854092 ,, AUD , USD ,"  1,62 ","  5,59 ","  22,19 ","  49,82 ","  97,36 ","24,18288833","0,00000008476490621","0,00000008476490621","0,00000008476490621","0,00000008476490621","0,0001040418283","10,81551322","37,79644894","85,44796234","187,1434071","60,4499367","-0,000000001818989404","-0,000000001818989404","-0,000000001818989404","-0,000000001818989404",,,,,,,,,,,,
12/31/2021, IRS307262619 ,, AUD , USD ,"  (21,25)","  (74,23)","  (294,61)","  (661,36)","  (1.608,14)","-104359,4201","-150484,1044","-0,00000001164153218","-0,00000001164153218","-0,00000001164153218",,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS686490893 ,, USD ,,"  9,02 ","  38,04 ","  147,87 ","  334,53 ","  48.110,65 ",0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS682313805 ,, USD ,,"  0,07 ","  152,90 ","  567,00 ","  1.272,57 ","  3.134,69 ","68744,75134","233636,712",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, IRS545554400 ,, GBP , USD ,"  31,36 ","  111,63 ","  444,66 ","  1.012,32 ","  2.516,45 ","10454,30322","258932,8663",0,0,0,,,,,,,,,,,,,,,,,,,,,,
12/31/2021, CCS821810096 ,, EUR , USD ,"  (3,60)","  (12,50)","  (50,14)","  (114,25)","  (83,14)","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","3,251046904","11,70292346","46,27903479","104,711256","89,2808298","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885","-0,00000001607531885",,,,,,,,,,,,
12/31/2021, FXF690057364 ,, EUR , USD ,"  0,04 ","  121.576,09 ","  122.912,06 ",  -   ,  -   ,0,0,0,0,0,"-0,06890706136","-119677,7199","-120992,8348",0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXF276314354 ,, AUD , USD ,"  (0,19)","  (216.733,82)","  (108.368,11)",  -   ,  -   ,0,0,0,0,0,"0,09434252279","219218,1223","109610,2773",0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXF811380623 ,, EUR , USD ,"  0,11 ",  -   ,"  343.025,16 ","  341.150,77 ",  -   ,0,0,0,0,0,"-0,1919817674",0,"-342473,507","-340602,137",0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXF313102980 ,, EUR , USD ,"  0,01 ",  -   ,"  24.834,71 ","  24.699,01 ",  -   ,0,0,0,0,0,"-0,01384693533",0,"-24701,37718","-24566,40202",0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXF168255439 ,, JPY , USD ,"  7.602,87 ",  -   ,  -   ,  -   ,  -   ,0,0,0,0,0,"-7547,001734",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXF177155290 ,, EUR , USD ,"  0,03 ","  201.758,23 ",  -   ,  -   ,  -   ,0,0,0,0,0,"-0,05734232254","-199041,3517",0,0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXF598460264 ,, EUR , USD ,"  (0,07)","  (71.230,34)","  (363.263,52)",  -   ,  -   ,0,0,0,0,0,"0,1228691079","70647,22586","360289,7389",0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXS276314354 ,, EUR , USD ,"  7.602,87 ",  -   ,  -   ,  -   ,  -   ,0,0,0,0,0,"-7547,001734",0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXS811380623 ,, EUR , USD ,"  0,03 ","  201.758,23 ",  -   ,  -   ,  -   ,0,0,0,0,0,"-0,05734232254","-199041,3517",0,0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXS313102980 ,, EUR , USD ,"  (0,07)","  (71.230,34)","  (363.263,52)",  -   ,  -   ,0,0,0,0,0,"0,1228691079","70647,22586","360289,7389",0,0,0,0,0,0,0,,,,,,,,,,,,
12/31/2021, FXO271821100 ,, EUR , USD ,"  (516,32)",  -   ,"  (0,02)","  0,00 ","  (0,00)","0,00000249601726","0,2327645781",0,0,0,"528,4761036",0,"-0,06945436053","-0,00006864138413","-0,0000961124897","0,0001678938133","0,6989148105",0,0,0,0,0,0,0,0,0,0,0,0,0,"-19806,17705","-19805,62103"
12/31/2021, FXO136170122 ,, JPY , USD ,"  0,00 ","  1.624,89 ","  1.716,71 ","  0,00 ","  0,00 ","-0,00003593231668","-5,29438786",0,0,0,"-0,001026040627","-1743,017602","-1839,05293","0,001846071973","0,002585164111","-0,004515051842","-18,79882786",0,0,0,0,0,0,0,0,0,0,0,0,0,"64557,43903","64554,92914"
12/31/2021, FXO623149061 ,, EUR , USD ,"  0,00 ",  -   ,"  2.661,15 ","  2.701,97 ","  0,00 ","-0,0004500394425","-44,33949624","-0,004017711035",0,0,"-0,001607356171","-0,00000001673470251","-2823,099934","-2879,920209","0,03118712448","-0,03032486748","-133,2053668","-0,01236432763","-0,00000001673470251","-0,00000001673470251",0,0,0,0,0,0,0,0,0,0,"48322,0287","48318,14932"
12/31/2021, FXO676548755 ,, EUR , USD ,"  179,05 ",  -   ,"  (0,01)","  0,00 ","  (0,00)","0,0000005617039278","0,05244968033",0,0,0,"-175,6415109",0,"-0,01565038929","-0,00001549888111","-0,0000216639819","0,00003782515705","0,1574890099",0,0,0,0,0,0,0,0,0,0,0,0,0,"-20685,47022","-20685,85798"
12/31/2021, FXO403688438 ,, EUR , USD ,"  0,00 ","  822,33 ","  4.549,30 ","  0,00 ","  (0,00)","0,0001555134077","14,49925006",0,0,0,"-0,001437211904","-771,4051393","-4275,786465","-0,004275125684","-0,005986665201","0,01045643148","43,5366458",0,0,0,0,0,0,0,0,0,0,0,0,0,"-72243,39849","-72247,63144"
12/31/2021, FXO302436425 ,, EUR , USD ,"  0,00 ",  -   ,"  (10,63)","  (22,94)","  17.907,75 ","49,13702752","260,7404463","0,1443647852",0,0,"-0,004335903213",0,"-32,49658554","-70,90176609","-16005,11042","-43,88978988","786,1985551","0,4447206506",0,0,0,0,0,"0,0002923508873",0,0,0,0,"0,4013823302",0,"-131384,7099","-131398,3144"
12/31/2021, FXO920656386 ,, GBP , USD ,"  0,00 ","  2.665,60 ","  29,14 ","  (0,00)","  (0,00)","0,00009245741239","3,316223726",0,0,0,"-0,000743354758","-2553,186843","-29,18781989","-0,000973556962","-0,001363324191","0,002381181548","9,914189411",0,0,0,0,0,0,0,0,0,0,0,0,0,"-45831,67486","-45834,04747"
12/31/2021, FXO931276392 ,, EUR , USD ,"  0,00 ","  (0,00)","  4.642,62 ","  25,59 ","  (0,00)","0,0001846863597","17,25591917","0,00005262008926",0,0,"-0,001253176379",0,"-4388,094326","-24,17046802","-0,007293733142","0,01242282087","51,81496841","0,0001620497642",0,0,0,0,0,0,0,0,0,0,0,0,"-53277,81985","-53281,5759"